folder_name,AE_std_auc,AE_std_avgprecision
abalone-17_vs_7-8-9-10,0.582183908,0.916997146
abalone-19_vs_10-11-12-13,0.549213836,0.982234536
abalone-20_vs_8-9-10,0.594363044,0.961783936
abalone-21_vs_8,0.815696649,0.669645082
abalone-3_vs_11,1,1
abalone19,0.54181253,0.991683423
abalone9-18,0.649906697,0.8862877
car-good,0.552017542,0.951486858
car-vgood,0.580554142,0.952520008
cleveland-0_vs_4,0.818269231,0.599903723
dermatology-6,0.926627219,0.664282913
ecoli-0-1-3-7_vs_2-6,0.813868613,0.654335326
ecoli-0-1-4-6_vs_5,0.732692308,0.827236992
ecoli-0-1-4-7_vs_2-3-5-6,0.723351679,0.634410447
ecoli-0-1-4-7_vs_5-6,0.724299674,0.704145225
ecoli-0-1_vs_2-3-5,0.748295455,0.68021091
ecoli-0-1_vs_5,0.755,0.765535751
ecoli-0-2-3-4_vs_5,0.717857143,0.782215737
ecoli-0-2-6-7_vs_3-5,0.711971197,0.678771768
ecoli-0-3-4-6_vs_5,0.686756757,0.818807747
ecoli-0-3-4-7_vs_5-6,0.675344828,0.730848227
ecoli-0-3-4_vs_5,0.706388889,0.791808966
ecoli-0-4-6_vs_5,0.695628415,0.77589987
ecoli-0-6-7_vs_3-5,0.731818182,0.659097616
ecoli-0-6-7_vs_5,0.673,0.786753715
ecoli-0_vs_1,0.562165108,0.604770985
ecoli1,0.604372462,0.812336099
ecoli2,0.55227519,0.860640078
ecoli3,0.553583294,0.904715954
ecoli4,0.725632911,0.859127897
flare-F,0.826331583,0.809004899
glass-0-1-2-3_vs_4-5-6,0.854805726,0.594280956
glass-0-1-4-6_vs_2,0.600438048,0.930927595
glass-0-1-5_vs_2,0.513472486,0.899419125
glass-0-1-6_vs_2,0.568403361,0.922160224
glass-0-1-6_vs_5,0.708571429,0.896959541
glass-0-4_vs_5,0.646586345,0.795329765
glass-0-6_vs_5,0.563411897,0.773241932
glass0,0.666468254,0.756847372
glass1,0.583714722,0.667629586
glass2,0.648850403,0.938724275
glass4,0.787600459,0.704468441
glass5,0.583197832,0.930708902
glass6,0.88723206,0.599152471
habermanImb,0.517613169,0.681047993
iris0,0.9608,0.881883193
kr-vs-k-one_vs_fifteen,0.999928972,0.998044661
kr-vs-k-three_vs_eleven,0.677113343,0.961259292
kr-vs-k-zero-one_vs_draw,0.713222972,0.938078699
kr-vs-k-zero_vs_eight,0.673231501,0.971237716
kr-vs-k-zero_vs_fifteen,1,1
led7digit-0-2-4-5-6-7-8-9_vs_1,0.905238983,0.542495284
lymphography-normal-fibrosis,0.996478873,0.930555556
new-thyroid1,0.837142857,0.56842369
new-thyroid2,0.83968254,0.569349817
page-blocks-1-3_vs_4,0.589848777,0.716318478
page-blocks0,0.904569018,0.508870233
pimaImb,0.589238806,0.568000778
poker-8-9_vs_5,0.555863415,0.981146856
poker-8-9_vs_6,0.554082192,0.968994531
poker-8_vs_6,0.54540693,0.98692995
poker-9_vs_7,0.641949153,0.936023033
segment0,0.731991381,0.906885603
shuttle-2_vs_5,0.952949407,0.637315296
shuttle-6_vs_2-3,0.919545455,0.617403195
shuttle-c0-vs-c4,0.998494076,0.936386986
shuttle-c2-vs-c4,0.974254743,0.508928571
vehicle0,0.559117069,0.75028762
vehicle1,0.544738558,0.731702357
vehicle2,0.54520686,0.73308014
vehicle3,0.563686685,0.732106225
vowel0,0.941140807,0.551004226
winequality-red-3_vs_5,0.802349486,0.957361139
winequality-red-4,0.599196954,0.936882505
winequality-red-8_vs_6-7,0.610911987,0.962830883
winequality-red-8_vs_6,0.672762104,0.943499161
winequality-white-3-9_vs_5,0.79431709,0.828258852
winequality-white-3_vs_7,0.838977273,0.578017718
winequality-white-9_vs_4,0.558282209,0.959754462
wisconsinImb,0.841579027,0.8519667
yeast-0-2-5-6_vs_3-7-8-9,0.74557732,0.68490005
yeast-0-2-5-7-9_vs_3-6-8,0.797622635,0.727708191
yeast-0-3-5-9_vs_7-8,0.604517544,0.818270457
yeast-0-5-6-7-9_vs_4,0.600156205,0.878232334
yeast-1-2-8-9_vs_7,0.644565613,0.945855437
yeast-1-4-5-8_vs_7,0.525641026,0.955442329
yeast-1_vs_7,0.666744367,0.872720133
yeast-2_vs_4,0.847287511,0.716067878
yeast-2_vs_8,0.7504329,0.725802274
yeast1,0.538949834,0.732757446
yeast3,0.614908765,0.870911791
yeast4,0.731154988,0.932702551
yeast5,0.879119318,0.888575776
yeast6,0.754116139,0.948006255
zoo-3,0.535416667,0.932254751
